flag,ok
Target Painters,目标标记装备
Tracking Disruptors,索敌扰断器
Warp Disruption Field Generators,跃迁扰断力场发生器
Warp Disruptors,跃迁扰断器
Warp Scramblers,跃迁扰频器
Electronics and Sensor Upgrades,电子学和感应器升级
Automated Targeting Systems,自动锁定系统
Cloaking Devices,隐形装置
CPU Upgrades,CPU 升级模块
Passive Targeting Systems,被动索敌系统
Remote Sensor Boosters,远程感应增强器
Sensor Boosters,感应增强器
Signal Amplifiers,信号放大器
Tractor Beams,牵引光束
Engineering Equipment,工程装备
Auxiliary Power Controls,辅助能量控制
Capacitor Batteries,电容电池
Capacitor Boosters,电容注电器
Capacitor Flux Coils,电容通量线圈
Capacitor Power Relays,电容能源继电器
Capacitor Rechargers,电容回充器
Energy Neutralizers,能量中和器
Energy Nosferatu,掠能器
Power Diagnostic Systems,能源诊断系统
Reactor Control Units,反应堆控制单元
Remote Capacitor Transmitters,远程电容传输装置
Fleet Assistance Modules,舰队辅助装备
Clone Vat Bays,克隆舱
Command Bursts,指挥脉冲
Command Processors,指挥处理器
Cynosural Field Generators,诱导力场发生器
Jump Portal Generators,跳跃通道发生器
Harvest Equipment,采集设备
Gas Cloud Harvesters,气云采集器
Ice Harvesters,冰矿采集器
Ice Mining Lasers,冰矿开采激光器
Mining Lasers,采矿激光器
Mining Upgrades,采矿改良设备
Salvagers,打捞器
Strip Miners,露天采矿器
Hull & Armor,船体和装甲
Armor Hardeners,装甲增强器
EM Armor Hardeners,电磁装甲增强器
Explosive Armor Hardeners,爆炸装甲增强器
Kinetic Armor Hardeners,动能装甲增强器
Reactive Armor Hardeners,反应式装甲增强器
Scriptable Armor Hardeners,可使用脚本的装甲增强器
Thermal Armor Hardeners,热能装甲增强器
Armor Plates,装甲附甲板
100mm Armor Plate,100mm装甲附甲板
1600mm Armor Plate,1600mm装甲附甲板
200mm Armor Plate,200mm装甲附甲板
25000mm Armor Plate,25000mm装甲附甲板
400mm Armor Plate,400mm装甲附甲板
800mm Armor Plate,800mm装甲附甲板
Armor Repairers,装甲维修器
Damage Controls,损伤控制
Energized Armor Layering,电压式装甲覆层
Energized Plating,电压式附甲
Energized Adaptive Plating,电压式适应性附甲
Energized EM Plating,电压式电磁附甲
Energized Explosive Plating,电压式爆炸附甲
Energized Kinetic Plating,电压式动能附甲
Energized Thermal Plating,电压式热能附甲
Hull Repairers,结构维修器
Hull Upgrades,船体加固
Expanded Cargoholds,扩充货柜舱
Nanofiber Internal Structures,纳米纤维内部构架
Reinforced Bulkheads,强化舱隔壁
Layered Plating,覆层附甲
Remote Armor Repairers,远程装甲维修器
Remote Hull Repairers,远程结构维修器
Resistance Plating,抗性附甲
Adaptive Resistance Plating,适应性抗性附甲
EM Resistance Plating,电磁抗性附甲
Explosive Resistance Plating,爆炸抗性附甲
Kinetic Resistance Plating,动能抗性附甲
Thermal Resistance Plating,热能抗性附甲
Propulsion,推进器
Afterburners,加力燃烧器
Micro Jump Drives,微型跳跃引擎
Micro Jump Field Generators,微型跳跃力场发生器
Microwarpdrives,微型跃迁推进器
Propulsion Upgrades,推进器改良
Inertial Stabilizers,惯性稳定器
Jump Economizers,跳跃节能装置
Overdrives,超载喷注器
Warp Accelerators,跃迁加速装置
Warp Core Stabilizers,跃迁稳定器
Scanning Equipment,扫描设备
Analyzers,分析仪
Cargo Scanners,货舱扫描器
Entosis Links,侵噬链接
Scan Probe Launchers,扫描探针发射器
Scanning Upgrades,扫描升级件
Ship Scanners,舰船扫描器
Survey Probe Launchers,测量探测器发射器
Survey Scanners,测量扫描器
Shield,护盾
Remote Shield Boosters,远程护盾回充增量器
Shield Boosters,护盾回充增量器
Boost Amplifiers,护盾回充增量放大器
Shield Extenders,护盾扩展装置
Shield Flux Coils,护盾通量线圈
Shield Hardeners,护盾增强系统
Adaptive Shield Hardeners,适应性护盾增强器
EM Shield Hardeners,电磁护盾增强器
Explosive Shield Hardeners,爆炸护盾增强器
Kinetic Shield Hardeners,动能护盾增强器
Scriptable Shield Hardeners,可使用脚本的护盾增强器
Thermal Shield Hardeners,热能护盾增强器
Shield Power Relays,护盾能源继电器
Shield Rechargers,护盾回充器
Shield Resistance Amplifiers,护盾抗性增效器
EM Resistance Amplifiers,电磁抗性增效器
Explosive Resistance Amplifiers,爆炸抗性增效器
Kinetic Resistance Amplifiers,动能抗性增效器
Thermal Resistance Amplifiers,热能抗性增效器
Smartbombs,立体炸弹
Turrets & Bays,炮台和发射器
Bomb Launchers,炸弹发射器
Superweapons,超级武器
Energy Turrets,能量炮台
Beam Lasers,集束激光器
Pulse Lasers,脉冲激光器
Hybrid Turrets,混合炮台
Blasters,疾速炮
Railguns,磁轨炮
Missile Launchers,导弹发射器
Cruise Launchers,巡航导弹发射器
Heavy Assault Launchers,重型攻击导弹发射器
Heavy Launchers,重型发射器
Light Missile Launchers,轻型导弹发射器
Rapid Heavy Missile Launchers,重型快速导弹发射器
Rapid Light Missile Launchers,轻型快速导弹发射器
Rapid Torpedo Launchers,快速鱼雷发射器
Rocket Launchers,火箭发射器
Torpedo Launchers,鱼雷发射器
XL Launchers,堡垒级发射器
Projectile Turrets,射弹炮台
Artillery Cannons,加农火炮
Autocannons,自动加农炮
Weapon Upgrades,武器升级
Ballistic Control Systems,弹道控制系统
Gyrostabilizers,回转稳定器
Heat Sinks,散热槽
Magnetic Field Stabilizers,磁性力场稳定器
Missile Guidance Computers,导弹引导计算机
Missile Guidance Enhancers,导弹引导增强器
Remote Tracking Computers,远距索敌计算机
Siege Modules,会战装备
Tracking Computers,索敌计算机
Tracking Enhancers,索敌增强器
# Rigs #
Rigs,改装件
Armor Rigs,装甲改装件
Capital Armor Rigs,旗舰级装甲改装件
Large Armor Rigs,大型装甲改装件
Medium Armor Rigs,中型装甲改装件
Small Armor Rigs,小型装甲改装件
Astronautic Rigs,航天技术改装件
Capital Astronautic Rigs,旗舰级航天技术改装件
Large Astronautic Rigs,大型航天技术改装件
Medium Astronautic Rigs,中型航天技术改装件
Small Astronautic Rigs,小型航天技术改装件
Drone Rigs,无人机改装件
Capital Drone Rigs,旗舰级无人机改装件
Large Drone Rigs,大型无人机改装件
Medium Drone Rigs,中型无人机改装件
Small Drone Rigs,小型无人机改装件
Electronics Superiority Rigs,电子压制改装件
Capital Electronics Superiority Rigs,旗舰级电子压制改装件
Large Electronics Superiority Rigs,大型电子压制改装件
Medium Electronics Superiority Rigs,中型电子压制改装件
Small Electronics Superiority Rigs,小型电子压制改装件
Energy Weapon Rigs,能量武器改装件
Capital Energy Weapon Rigs,旗舰级能量武器改装件
Large Energy Weapon Rigs,大型能量武器改装件
Medium Energy Weapon Rigs,中型能量武器改装件
Small Energy Weapon Rigs,小型能量武器改装件
Engineering Rigs,工程改装件
Capital Engineering Rigs,旗舰级工程改装件
Large Engineering Rigs,大型工程改装件
Medium Engineering Rigs,中型工程改装件
Small Engineering Rigs,小型工程改装件
Hybrid Weapon Rigs,混合武器改装件
Capital Hybrid Weapon Rigs,旗舰级混合武器改装件
Large Hybrid Weapon Rigs,大型混合武器改装件
Medium Hybrid Weapon Rigs,中型混合武器改装件
Small Hybrid Weapon Rigs,小型混合武器改装件
Missile Launcher Rigs,导弹发射器改装件
Capital Missile Launcher Rigs,旗舰级导弹发射器改装件
Large Missile Launcher Rigs,大型导弹发射器改装件
Medium Missile Launcher Rigs,中型导弹发射器改装件
Small Missile Launcher Rigs,小型导弹发射器改装件
Projectile Weapon Rigs,射弹武器改装件
Capital Projectile Weapon Rigs,旗舰级射弹武器改装件
Large Projectile Weapon Rigs,大型射弹武器改装件
Medium Projectile Weapon Rigs,中型射弹武器改装件
Small Projectile Weapon Rigs,小型射弹武器改装件
Resource Processing Rigs,资源加工改装件
Capital Resource Processing Rigs,旗舰级资源加工改装件
Large Resource Processing Rigs,大型资源加工改装件
Medium Resource Processing Rigs,中型资源加工改装件
Small Resource Processing Rigs,小型资源加工改装件
Scanning Rigs,扫描改装件
Capital Scanning Rigs,旗舰级扫描改装件
Large Scanning Rigs,大型扫描改装件
Medium Scanning Rigs,中型扫描改装件
Small Scanning Rigs,小型扫描改装件
Shield Rigs,护盾改装件
Capital Shield Rigs,旗舰级护盾改装件
Large Shield Rigs,大型护盾改装件
Medium Shield Rigs,中型护盾改装件
Small Shield Rigs,小型护盾改装件
Targeting Rigs,锁定系统改装件
Capital Targeting Rigs,旗舰级锁定系统改装件
Large Targeting Rigs,大型锁定系统改装件
Medium Targeting Rigs,中型锁定系统改装件
Small Targeting Rigs,小型锁定系统改装件
# Subsystems #
Subsystems,子系统
Amarr Subsystems,艾玛子系统
Amarr Defensive Subsystems,艾玛防御子系统
Amarr Electronic Subsystems,艾玛电子子系统
Amarr Engineering Subsystems,艾玛工程子系统
Amarr Offensive Subsystems,艾玛攻击子系统
Amarr Propulsion Subsystems,艾玛推进子系统
Caldari Subsystems,加达里子系统
Caldari Defensive Subsystems,加达里防御子系统
Caldari Electronic Subsystems,加达里电子子系统
Caldari Engineering Subsystems,加达里工程子系统
Caldari Offensive Subsystems,加达里攻击子系统
Caldari Propulsion Subsystems,加达里推进子系统
Gallente Subsystems,盖伦特子系统
Gallente Defensive Subsystems,盖伦特防御子系统
Gallente Electronic Subsystems,盖伦特电子子系统
Gallente Engineering Subsystems,盖伦特工程子系统
Gallente Offensive Subsystems,盖伦特攻击子系统
Gallente Propulsion Subsystems,盖伦特推进子系统
Minmatar Subsystems,米玛塔尔子系统
Minmatar Defensive Subsystems,米玛塔尔防御子系统
Minmatar Electronic Subsystems,米玛塔尔电子子系统
Minmatar Engineering Subsystems,米玛塔尔工程子系统
Minmatar Offensive Subsystems,米玛塔尔攻击子系统
Minmatar Propulsion Subsystems,米玛塔尔推进子系统
